EEG CHANNEL CORRELATION ANALYSIS SUMMARY
Subject: sub-NORB00076_ses-1_task-EEG_eeg
Channels analyzed: 19
Recording duration: 240.0 seconds
Sampling frequency: 200.0 Hz
Matrix size: 19 × 19
Total channel pairs: 342
Mean correlation: 0.731
Standard deviation: 0.122
Range: [0.351, 0.997]
1. Highest correlation: 0.997
2. Lowest correlation: 0.351
3. Within-region correlations: 0.881 ± 0.095
4. Between-region correlations: 0.694 ± 0.098
Note: This analysis shows the functional connectivity patterns between EEG channels in resting-state infant brain activity.
Final Correlation Matrix:
       Fp1    Fp2     F3     F4     C3     C4     P3     P4     O1     O2     F7     F8     T3     T4     T5     T6     FZ     CZ     PZ
Fp1  1.000  0.967  0.949  0.930  0.789  0.590  0.748  0.703  0.737  0.705  0.950  0.928  0.809  0.736  0.681  0.719  0.947  0.611  0.611
Fp2  0.967  1.000  0.982  0.974  0.782  0.643  0.767  0.728  0.756  0.719  0.899  0.951  0.820  0.717  0.736  0.724  0.979  0.674  0.628
F3   0.949  0.982  1.000  0.974  0.820  0.665  0.780  0.739  0.733  0.701  0.884  0.915  0.788  0.669  0.691  0.692  0.997  0.713  0.669
F4   0.930  0.974  0.974  1.000  0.800  0.689  0.790  0.759  0.758  0.731  0.864  0.951  0.804  0.709  0.722  0.730  0.972  0.704  0.674
C3   0.789  0.782  0.820  0.800  1.000  0.663  0.835  0.767  0.688  0.613  0.732  0.727  0.637  0.577  0.553  0.571  0.823  0.770  0.804
C4   0.590  0.643  0.665  0.689  0.663  1.000  0.694  0.749  0.582  0.564  0.525  0.614  0.567  0.402  0.580  0.495  0.665  0.794  0.747
P3   0.748  0.767  0.780  0.790  0.835  0.694  1.000  0.872  0.861  0.793  0.730  0.758  0.750  0.621  0.776  0.733  0.783  0.713  0.847
P4   0.703  0.728  0.739  0.759  0.767  0.749  0.872  1.000  0.796  0.767  0.652  0.729  0.677  0.596  0.685  0.742  0.741  0.732  0.909
O1   0.737  0.756  0.733  0.758  0.688  0.582  0.861  0.796  1.000  0.899  0.708  0.770  0.753  0.683  0.820  0.814  0.731  0.594  0.689
O2   0.705  0.719  0.701  0.731  0.613  0.564  0.793  0.767  0.899  1.000  0.693  0.757  0.729  0.671  0.760  0.883  0.702  0.507  0.640
F7   0.950  0.899  0.884  0.864  0.732  0.525  0.730  0.652  0.708  0.693  1.000  0.870  0.842  0.752  0.671  0.723  0.886  0.515  0.545
F8   0.928  0.951  0.915  0.951  0.727  0.614  0.758  0.729  0.770  0.757  0.870  1.000  0.828  0.780  0.756  0.782  0.910  0.596  0.601
T3   0.809  0.820  0.788  0.804  0.637  0.567  0.750  0.677  0.753  0.729  0.842  0.828  1.000  0.712  0.878  0.748  0.790  0.559  0.523
T4   0.736  0.717  0.669  0.709  0.577  0.402  0.621  0.596  0.683  0.671  0.752  0.780  0.712  1.000  0.624  0.812  0.670  0.351  0.426
T5   0.681  0.736  0.691  0.722  0.553  0.580  0.776  0.685  0.820  0.760  0.671  0.756  0.878  0.624  1.000  0.734  0.686  0.571  0.535
T6   0.719  0.724  0.692  0.730  0.571  0.495  0.733  0.742  0.814  0.883  0.723  0.782  0.748  0.812  0.734  1.000  0.689  0.404  0.538
FZ   0.947  0.979  0.997  0.972  0.823  0.665  0.783  0.741  0.731  0.702  0.886  0.910  0.790  0.670  0.686  0.689  1.000  0.714  0.675
CZ   0.611  0.674  0.713  0.704  0.770  0.794  0.713  0.732  0.594  0.507  0.515  0.596  0.559  0.351  0.571  0.404  0.714  1.000  0.817
PZ   0.611  0.628  0.669  0.674  0.804  0.747  0.847  0.909  0.689  0.640  0.545  0.601  0.523  0.426  0.535  0.538  0.675  0.817  1.000
