EEG CHANNEL CORRELATION ANALYSIS SUMMARY
Subject: sub-NORB00102_ses-1_task-EEG_eeg
Channels analyzed: 19
Recording duration: 336.0 seconds
Sampling frequency: 200.0 Hz
Matrix size: 19 × 19
Total channel pairs: 342
Mean correlation: 0.431
Standard deviation: 0.225
Range: [-0.068, 0.977]
1. Highest correlation: 0.977
2. Lowest correlation: -0.068
3. Within-region correlations: 0.638 ± 0.283
4. Between-region correlations: 0.379 ± 0.173
Note: This analysis shows the functional connectivity patterns between EEG channels in resting-state infant brain activity.
Final Correlation Matrix:
       Fp1    Fp2     F3     F4     C3     C4     P3     P4     O1     O2     F7     F8     T3     T4     T5     T6     FZ     CZ     PZ
Fp1  1.000  0.853  0.840  0.760  0.476  0.426  0.291  0.302  0.231  0.187  0.835  0.149  0.454  0.265  0.257  0.282  0.736  0.522  0.275
Fp2  0.853  1.000  0.836  0.864  0.513  0.472  0.319  0.311  0.216  0.175  0.792  0.136  0.459  0.231  0.260  0.275  0.749  0.546  0.303
F3   0.840  0.836  1.000  0.852  0.503  0.432  0.285  0.274  0.235  0.220  0.774  0.136  0.430  0.184  0.226  0.188  0.962  0.595  0.273
F4   0.760  0.864  0.852  1.000  0.609  0.597  0.386  0.373  0.249  0.230  0.766  0.132  0.524  0.220  0.312  0.234  0.820  0.668  0.374
C3   0.476  0.513  0.503  0.609  1.000  0.691  0.643  0.535  0.378  0.333  0.570  0.040  0.720  0.264  0.578  0.313  0.503  0.835  0.606
C4   0.426  0.472  0.432  0.597  0.691  1.000  0.609  0.726  0.373  0.354  0.492  0.108  0.511  0.449  0.465  0.495  0.440  0.801  0.596
P3   0.291  0.319  0.285  0.386  0.643  0.609  1.000  0.857  0.682  0.631  0.329  0.005  0.444  0.277  0.747  0.389  0.286  0.623  0.977
P4   0.302  0.311  0.274  0.373  0.535  0.726  0.857  1.000  0.612  0.599  0.324  0.063  0.362  0.392  0.558  0.522  0.281  0.630  0.867
O1   0.231  0.216  0.235  0.249  0.378  0.373  0.682  0.612  1.000  0.890  0.306  0.052  0.257  0.385  0.618  0.427  0.234  0.394  0.674
O2   0.187  0.175  0.220  0.230  0.333  0.354  0.631  0.599  0.890  1.000  0.267  0.092  0.177  0.311  0.543  0.339  0.226  0.373  0.627
F7   0.835  0.792  0.774  0.766  0.570  0.492  0.329  0.324  0.306  0.267  1.000  0.155  0.594  0.356  0.339  0.319  0.716  0.578  0.316
F8   0.149  0.136  0.136  0.132  0.040  0.108  0.005  0.063  0.052  0.092  0.155  1.000  0.144  0.264 -0.068  0.181  0.135  0.105  0.027
T3   0.454  0.459  0.430  0.524  0.720  0.511  0.444  0.362  0.257  0.177  0.594  0.144  1.000  0.313  0.519  0.316  0.415  0.557  0.412
T4   0.265  0.231  0.184  0.220  0.264  0.449  0.277  0.392  0.385  0.311  0.356  0.264  0.313  1.000  0.359  0.829  0.180  0.310  0.300
T5   0.257  0.260  0.226  0.312  0.578  0.465  0.747  0.558  0.618  0.543  0.339 -0.068  0.519  0.359  1.000  0.431  0.217  0.460  0.698
T6   0.282  0.275  0.188  0.234  0.313  0.495  0.389  0.522  0.427  0.339  0.319  0.181  0.316  0.829  0.431  1.000  0.163  0.337  0.396
FZ   0.736  0.749  0.962  0.820  0.503  0.440  0.286  0.281  0.234  0.226  0.716  0.135  0.415  0.180  0.217  0.163  1.000  0.633  0.280
CZ   0.522  0.546  0.595  0.668  0.835  0.801  0.623  0.630  0.394  0.373  0.578  0.105  0.557  0.310  0.460  0.337  0.633  1.000  0.604
PZ   0.275  0.303  0.273  0.374  0.606  0.596  0.977  0.867  0.674  0.627  0.316  0.027  0.412  0.300  0.698  0.396  0.280  0.604  1.000
