EEG CHANNEL CORRELATION ANALYSIS SUMMARY
Subject: sub-NORB00045_ses-1_task-EEG_eeg
Channels analyzed: 22
Recording duration: 1146.0 seconds
Sampling frequency: 200.0 Hz
Matrix size: 22 × 22
Total channel pairs: 462
Mean correlation: 0.506
Standard deviation: 0.321
Range: [-0.070, 0.974]
1. Highest correlation: 0.974
2. Lowest correlation: -0.070
3. Within-region correlations: 0.813 ± 0.127
4. Between-region correlations: 0.654 ± 0.094
Note: This analysis shows the functional connectivity patterns between EEG channels in resting-state infant brain activity.
Final Correlation Matrix:
       Fp1    Fp2     F3     F4     C3     C4     P3     P4     O1     O2     F7     F8     T3     T4     T5     T6     FZ     CZ     PZ    25+    26+    27+
Fp1  1.000  0.970  0.913  0.876  0.735  0.722  0.638  0.615  0.601  0.505  0.865  0.819  0.726  0.492  0.589  0.697  0.971  0.701  0.655  0.053 -0.040 -0.020
Fp2  0.970  1.000  0.887  0.869  0.710  0.719  0.639  0.591  0.575  0.506  0.855  0.809  0.685  0.483  0.556  0.708  0.974  0.698  0.639  0.075 -0.040 -0.023
F3   0.913  0.887  1.000  0.921  0.855  0.804  0.699  0.663  0.646  0.534  0.854  0.817  0.748  0.504  0.622  0.722  0.916  0.791  0.707  0.049 -0.055 -0.022
F4   0.876  0.869  0.921  1.000  0.813  0.857  0.685  0.694  0.646  0.542  0.811  0.886  0.724  0.557  0.615  0.734  0.890  0.806  0.705  0.058 -0.058 -0.021
C3   0.735  0.710  0.855  0.813  1.000  0.879  0.783  0.720  0.671  0.544  0.724  0.705  0.749  0.503  0.626  0.718  0.753  0.879  0.789  0.042 -0.049 -0.023
C4   0.722  0.719  0.804  0.857  0.879  1.000  0.742  0.790  0.662  0.560  0.694  0.734  0.700  0.577  0.595  0.744  0.745  0.884  0.790  0.057 -0.049 -0.022
P3   0.638  0.639  0.699  0.685  0.783  0.742  1.000  0.774  0.805  0.699  0.655  0.635  0.694  0.451  0.771  0.661  0.661  0.751  0.831  0.052 -0.048 -0.030
P4   0.615  0.591  0.663  0.694  0.720  0.790  0.774  1.000  0.750  0.686  0.603  0.662  0.678  0.543  0.679  0.627  0.621  0.708  0.799  0.043 -0.070 -0.017
O1   0.601  0.575  0.646  0.646  0.671  0.662  0.805  0.750  1.000  0.749  0.603  0.600  0.670  0.446  0.764  0.584  0.597  0.632  0.733  0.038 -0.069 -0.027
O2   0.505  0.506  0.534  0.542  0.544  0.560  0.699  0.686  0.749  1.000  0.532  0.527  0.550  0.403  0.649  0.491  0.513  0.512  0.581  0.035 -0.046 -0.022
F7   0.865  0.855  0.854  0.811  0.724  0.694  0.655  0.603  0.603  0.532  1.000  0.783  0.767  0.479  0.589  0.625  0.855  0.666  0.616  0.063 -0.052 -0.029
F8   0.819  0.809  0.817  0.886  0.705  0.734  0.635  0.662  0.600  0.527  0.783  1.000  0.713  0.552  0.589  0.649  0.817  0.692  0.636  0.059 -0.058 -0.020
T3   0.726  0.685  0.748  0.724  0.749  0.700  0.694  0.678  0.670  0.550  0.767  0.713  1.000  0.526  0.765  0.606  0.705  0.656  0.660  0.026 -0.041 -0.020
T4   0.492  0.483  0.504  0.557  0.503  0.577  0.451  0.543  0.446  0.403  0.479  0.552  0.526  1.000  0.399  0.661  0.499  0.519  0.509  0.028  0.012 -0.017
T5   0.589  0.556  0.622  0.615  0.626  0.595  0.771  0.679  0.764  0.649  0.589  0.589  0.765  0.399  1.000  0.547  0.577  0.570  0.646  0.038 -0.057 -0.021
T6   0.697  0.708  0.722  0.734  0.718  0.744  0.661  0.627  0.584  0.491  0.625  0.649  0.606  0.661  0.547  1.000  0.722  0.757  0.719  0.042 -0.033 -0.030
FZ   0.971  0.974  0.916  0.890  0.753  0.745  0.661  0.621  0.597  0.513  0.855  0.817  0.705  0.499  0.577  0.722  1.000  0.738  0.673  0.061 -0.040 -0.024
CZ   0.701  0.698  0.791  0.806  0.879  0.884  0.751  0.708  0.632  0.512  0.666  0.692  0.656  0.519  0.570  0.757  0.738  1.000  0.819  0.054 -0.048 -0.025
PZ   0.655  0.639  0.707  0.705  0.789  0.790  0.831  0.799  0.733  0.581  0.616  0.636  0.660  0.509  0.646  0.719  0.673  0.819  1.000  0.040 -0.049 -0.028
25+  0.053  0.075  0.049  0.058  0.042  0.057  0.052  0.043  0.038  0.035  0.063  0.059  0.026  0.028  0.038  0.042  0.061  0.054  0.040  1.000  0.029 -0.006
26+ -0.040 -0.040 -0.055 -0.058 -0.049 -0.049 -0.048 -0.070 -0.069 -0.046 -0.052 -0.058 -0.041  0.012 -0.057 -0.033 -0.040 -0.048 -0.049  0.029  1.000  0.007
27+ -0.020 -0.023 -0.022 -0.021 -0.023 -0.022 -0.030 -0.017 -0.027 -0.022 -0.029 -0.020 -0.020 -0.017 -0.021 -0.030 -0.024 -0.025 -0.028 -0.006  0.007  1.000
